MADAGASCAR	-18.766947	46.869107	-11.437	50.9985	-26.2146	42.7368	
MALAWI	-13.254308	34.301525	-9.3671481	35.9241664	-17.1352783	32.6788892	
MALAYSIA	4.210484	101.975766	7.5191	119.5738	0.853821	99.5787	
MALDIVES	3.202778	73.22068	7.5149809	74.7290039	-1.2907844	71.751709	
MALI	17.570692	-3.996166	25.000012	4.2666666	10.147811	-12.238885	
MALTA	35.937496	14.375416	36.082016	14.5779991	35.8038922	14.191582	
MARSHALL ISLANDS	7.131474	171.184478	15.019075	172.5732422	4.1601582	159.8840332	
MARTINIQUE	14.641528	-61.024174	14.8973451	-60.7856369	14.370834	-61.2419128	
MAURITANIA	21.00789	-10.940835	27.2944447	-4.8333343	14.721273	-17.0701337	
MAURITIUS	-20.348404	57.552152	-18.7763	59.5844	-21.637	55.7666	
MAYOTTE	-12.8275	45.166244	-12.5772665	45.3201485	-13.0358331	44.9914169	
MEXICO	23.634501	-102.552784	32.718763	-86.5887	14.3895	-118.6523	
MOLDOVA, REPUBLIC OF	47.0283324	28.8279668	47.0291552	28.8291979	47.0275097	28.8267356	
MONACO	43.7384176	7.4246158	43.751903	7.4426	43.7238	7.409105	
MONGOLIA	46.862496	103.846656	52.1486965	119.931949	41.58152	87.73762	
MONTENEGRO	42.708678	19.37439	43.558743	20.357765	41.8297	18.43398	
MONTSERRAT	16.742498	-62.187366	16.8260672	-62.1426201	16.671007	-62.242584	
MOROCCO	31.791702	-7.09262	35.9344	-0.9969758	27.6666665	-13.3044	
MOZAMBIQUE	-18.665695	35.529562	-10.3365	41.3965	-26.9612	30.2127775	
MYANMAR	21.913965	95.956223	28.5478351	101.1702717	9.4518	92.171808	
NAMIBIA	-22.95764	18.49041	-16.9634855	25.2630084	-28.9706386	11.4697	
NAURU	-0.522778	166.931503	-0.4978976	166.9631767	-0.5580623	166.9071293	
NEPAL	28.394857	84.124008	30.4469452	88.1992978	26.3477794	80.0522222	
NETHERLANDS	52.132633	5.291266	53.6756	7.2271405	50.7503837	3.3316	
NETHERLANDS ANTILLES	12.226079	-69.060087	18.0636995	-62.8857422	11.8996035	-69.2770386	
NEW CALEDONIA	-20.904305	165.618042	-19.1607355	168.3325195	-23.2514405	163.3557129	
NEW ZEALAND	-40.900557	174.885971	-28.8773225	-175.0663205	-52.7224663	165.7437641	
NICARAGUA	12.865416	-85.207229	15.0302755	-82.2766	10.708055	-87.7588	
NIGER	17.607789	8.081666	23.515	15.999034	11.6928011	0.1666672	
NIGERIA	9.081999	8.675277	13.8896121	14.678099	4.1821	2.676932	
NIUE	-19.054445	-169.867233	-18.952625	-169.7743249	-19.1555668	-169.9500847	
NORFOLK ISLAND	-29.040835	167.954712	-29.001979	167.998033	-29.126415	167.914414	
NORTHERN MARIANA ISLANDS	17.33083	145.38469	20.6584862	146.2060547	13.9713848	144.7668457	
NORWAY	60.472024	8.468946	71.3078	31.355	57.8097	4.0649	
OMAN	21.512583	55.923255	26.4361	60.304	16.4572	52	
PAKISTAN	30.375321	69.345116	37.084107	77.8344316	23.6345	60.872972	
PALAU	7.51498	134.58252	8.2386736	135.0769043	4.1711155	131.8579102	
PANAMA	8.537981	-80.782127	9.7145	-77.158488	7.0409	-83.0522411	
PAPUA NEW GUINEA	-6.314993	143.95555	-0.6702	159.9609	-12.0823	140.8419695	
